City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Kavieng,PG,-2.5744,150.7967,83.88,70,100,9.98,overcast clouds
196,San Patricio,US,28.017,-97.5169,86.18,72,0,19.1,clear sky
197,Luba,GQ,3.4568,8.5547,76.89,85,84,8.37,light rain
198,Terney,RU,45.0503,136.6092,64.6,88,97,4.41,overcast clouds
199,Port Hedland,AU,-20.3167,118.5667,78.85,27,0,17.27,clear sky
200,Port Alfred,ZA,-33.5906,26.891,56.17,97,100,3.0,heavy intensity rain
201,Mahon,ES,39.8885,4.2658,75.76,94,0,4.61,clear sky
202,Waingapu,ID,-9.6567,120.2641,80.8,56,27,12.41,scattered clouds
203,Lodwar,KE,3.1191,35.5973,78.15,48,100,16.98,overcast clouds
204,Borogontsy,RU,62.6683,131.1683,81.18,43,99,8.66,overcast clouds
205,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,72,40,11.18,scattered clouds
206,Tasiilaq,GL,65.6145,-37.6368,36.5,87,46,5.46,scattered clouds
207,Fasa,IR,28.9383,53.6482,72.64,20,0,0.0,clear sky
208,San Pedro,PH,14.35,121.0167,88.83,70,75,5.75,light rain
209,Pundaguitan,PH,6.3711,126.1689,82.49,75,56,2.46,broken clouds
210,Omboue,GA,-1.5746,9.2618,72.1,90,100,5.84,overcast clouds
211,Barranca,PE,-10.75,-77.7667,61.12,84,36,8.32,scattered clouds
212,Alofi,NU,-19.0595,-169.9187,80.49,65,75,21.85,broken clouds
213,Cururupu,BR,-1.8283,-44.8683,73.56,91,41,2.01,scattered clouds
214,Kuytun,RU,54.3419,101.5036,63.75,65,6,2.68,clear sky
215,Maceio,BR,-9.6658,-35.7353,74.46,80,0,10.42,clear sky
216,Goderich,CA,43.7501,-81.7165,72.91,94,93,6.91,overcast clouds
217,Mineral Wells,US,32.8085,-98.1128,100.6,20,0,9.22,clear sky
218,Najran,SA,17.4924,44.1277,79.45,42,100,9.13,overcast clouds
219,Bathsheba,BB,13.2167,-59.5167,81.21,94,40,11.5,scattered clouds
220,Pisco,PE,-13.7,-76.2167,58.95,90,77,1.39,broken clouds
221,Biharamulo,TZ,-2.6319,31.3089,60.73,59,37,2.95,scattered clouds
222,Sohbatpur,PK,28.5202,68.5434,91.63,60,99,8.52,overcast clouds
223,Kayerkan,RU,69.3497,87.7602,55.53,66,100,6.13,overcast clouds
224,Wasilla,US,61.5814,-149.4394,52.02,93,100,4.61,moderate rain
225,Samarkand,UZ,39.6542,66.9597,78.22,31,0,13.8,clear sky
226,Umm Lajj,SA,25.0213,37.2685,84.67,64,56,8.79,broken clouds
227,Bambanglipuro,ID,-7.95,110.2833,79.81,75,9,4.16,clear sky
