City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
328,Saint-Avertin,FR,84.79,broken clouds,47.3636,0.7399,Kyriad Tours - Saint-Pierre-des-Corps- Gare
336,Alappuzha,IN,81.0,moderate rain,9.49,76.3264,Panoramic Sea Resort
338,Suriapet,IN,79.63,overcast clouds,17.15,79.6167,MNR Lodge and Restaurant
339,Bonthe,SL,77.61,light rain,7.5264,-12.505,Bonthe Holiday Village
341,Shimoda,JP,79.07,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
343,Jacareacanga,BR,89.02,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
344,Shawnee,US,82.02,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
347,Sola,VU,80.87,clear sky,-13.8833,167.55,Leumerus Bungalows
348,Bireun,ID,79.88,light rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
350,Riviera Beach,US,89.06,clear sky,26.7753,-80.0581,Marriott's Ocean Pointe
351,Lorengau,PG,80.28,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
358,Emporia,US,82.6,clear sky,38.4039,-96.1817,Days Inn by Wyndham Emporia
361,Endicott,US,85.21,clear sky,42.0984,-76.0494,Knights Inn Endwell
365,Hami,CN,81.12,clear sky,42.8,93.45,Laoyutang Resort
369,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
371,Alexandria,EG,81.03,clear sky,31.2156,29.9553,Royal Crown Hotel
373,Kalabo,ZM,83.5,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
374,Vila Franca Do Campo,PT,78.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
379,Wajid,SO,87.71,scattered clouds,3.8093,43.2471,xamdihotelresturant114
382,Sterling,US,88.66,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
383,Buchanan,LR,79.03,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
384,Barcelos,PT,83.84,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
386,Isangel,VU,75.2,few clouds,-19.55,169.2667,Tanna Lodge
